school,clean_name,clean_city,clean_state,category
"Bolles, FL",Bolles,NULL,FL,high_school
"Genn, TX",Genn,NULL,TX,high_school
"Cooper, KY",Cooper,NULL,KY,high_school
"Ontario Christian, CA","Ontario Christian",NULL,CA,high_school
"Luhi, NY",Luhi,NULL,NY,high_school
"La Jolla Country Day",NULL,NULL,NULL,high_school
"Lakeside, GA",Lakeside,NULL,GA,high_school
"Valor Christian, CO","Valor Christian",NULL,CO,high_school
"Friends Central, PA","Friends Central",NULL,PA,high_school
"Wossman, LA",Wossman,NULL,LA,high_school
"Notre Dame Academy, KY","Notre Dame Academy",NULL,KY,high_school
"Centennial, MN",Centennial,NULL,MN,high_school
"San Jose Prep, FL","San Jose Prep",NULL,FL,high_school
"New London, CT","New London",NULL,CT,high_school
"Bella Vista Prep, AZ","Bella Vista Prep",NULL,AZ,high_school
"Eldorado, NM",Eldorado,NULL,NM,high_school
"Collins Hill, GA","Collins Hill",NULL,GA,high_school
"Cardinal Ritter College Prep",NULL,NULL,NULL,high_school
"Lafayette Jeff, IN","Lafayette Jeff",NULL,IN,high_school
"West Seattle, WA","West Seattle",NULL,WA,high_school
"Timberline, WA",Timberline,NULL,WA,high_school
"Blackmon, TN",Blackmon,NULL,TN,high_school
"Clark, TX",Clark,NULL,TX,high_school
"Marian, MI",Marian,NULL,MI,high_school
"St. Thomas Aquinas, KS","St. Thomas Aquinas",NULL,KS,high_school
"SPIRE Institute, OH","SPIRE Institute",NULL,OH,high_school
"Mason, OH",Mason,NULL,OH,high_school
"Kaukauna, WI",Kaukauna,NULL,WI,high_school
"Sidwell Friends, DC","Sidwell Friends",NULL,DC,high_school
"Harpeth Hall, TN","Harpeth Hall",NULL,TN,high_school
"Riverdale Ridge, CO","Riverdale Ridge",NULL,CO,high_school
"Center Grove, IN","Center Grove",NULL,IN,high_school
"FFA, TX",FFA,NULL,TX,high_school
"Etiwanda, CA",Etiwanda,NULL,CA,high_school
"Neenah, WI",Neenah,NULL,WI,high_school
"Indian Creek, IN","Indian Creek",NULL,IN,high_school
Alton,NULL,NULL,NULL,high_school
"Hamilton Southeastern, IN","Hamilton Southeastern",NULL,IN,high_school
"Skyview, MT",Skyview,NULL,MT,high_school
"Springboro, OH",Springboro,NULL,OH,high_school
"South Grand Prairie, TX","South Grand Prairie",NULL,TX,high_school
Ripley,NULL,NULL,NULL,high_school
"AZ Compass, AZ","AZ Compass",NULL,AZ,high_school
"Portsmouth, OH",Portsmouth,NULL,OH,high_school
"Montgomery County",NULL,NULL,NULL,high_school
"North Thurston, WA","North Thurston",NULL,WA,high_school
"New Dorp",NULL,NULL,NULL,high_school
Pinnacle,NULL,NULL,NULL,high_school
