id,school_name,city,state
171,"Hernando, MS",Southaven,MS
172,"1 of 1 Prep,Academy",Waxhaw,NC
173,"South Meck, NC",,NC
174,"Pickerington Central, OH",Pickerington,OH
175,"Westwood, SC",,NC
176,"Riverdale Baptist","Upper Marlboro",MD
177,Mullen,Denver,CO
178,"Arizona Compass",Tucson,AZ
179,"Phoenix Country Day, AZ",Phoenix,AZ
180,"Sidwell Friends",Washington,DC
181,"Arizona Compass, AZ",Phoenix,AZ
182,"Christ the King",Commack,NY
183,"Kenwood Academy",Chicago,IL
184,"Westerville North",Westerville,OH
185,"AKRON Hoban",Akron,OH
186,DeLaSalle,Minneapolis,MN
187,"Toledo Central Catholic",Toledo,OH
188,"Duncanville, TX",Saginaw,TX
189,"JM Robinson, NC",Mooresville,NC
190,"Cannon School",Concord,NC
191,"Panther Creek",Cary,NC
192,"Quality Education Academy, NC",,NC
193,"NYC Good Better Best Academy",Raleigh,NC
194,"Legacy Early College",Simpsonville,SC
195,Chambers,,NC
196,"Concord Academy",Concord,NC
197,Choctaw,"Midwest City",OK
198,Richland,Pulaski,TN
199,"Northview Academy, TN",Sevierville,TN
200,"Montgomery Catholic, AL",Montgomery,AL
201,"Seminole Ridge","Lake Worth",FL
202,"Xavier College Prep, AZ",,AZ
203,"Plainfield East",Plainfield,IL
204,"Kettering Alter",Kettering,OH
205,"McEachern, GA","Powder Springs",GA
206,"Gilmour Academy, OH",Cleveland,OH
207,"Milton, GA",Roswell,GA
208,"Long Island Lutheran, NY","Long Island",NY
209,"Winchendon School","North Yarmouth",ME
210,Stevenson,,IL
211,"Detroit Country Day, MI",Southfield,MI
212,"Episcopal Collegiate","North Little Rock",AR
213,"Science Hill","JOHNSON City",TN
214,"Millbrook Magnet",Knightdale,NC
215,Clayton,Garner,NC
216,"Abingdon, VA","Pounding Mill",VA
217,"Dyersburg, TN",Dyersburg,TN
218,"Warner Robbins, GA",Perry,GA
219,"Hebron Christian Academy, GA",Wellington,FL
220,Westview,Martin,TN
221,"Hernando, MS","Horn Lake",MS
222,"Webb School, TN",Knoxville,TN
223,"Link Academy, MO",Joplin,MO
224,"Mount Paran Christian School",Acworth,GA
225,"Lake Norman",Mooresville,NC
226,"University Christian, FL",Jacksonville,FL
227,"Montverde Academy, FL",Parrish,AL
228,"Bartram Trail",NULL,FL
229,"Baptist Prep, AR",Maumelle,AR
230,"St. Marys, CA",Sacramento,CA
231,"Oak City Prep, NC",Youngsville,NC
232,"Nova, FL",Sunrise,FL
233,"Tabor Academy, MA",Auburn,NH
234,Ensworth,Nashville,TN
235,"Wilbraham & Monson, MA",,MA
236,"Legion Collegiate Academy","Fort Mill",SC
237,"Lakeway Christian Academy",Kodak,TN
238,"Lipscomb Academy, TN",Brentwood,TN
239,"Daniel Boone, TN",Jonesborough,TN
240,"Lake Central",Schereville,IN
241,Hardaway,Columbus,OH
242,"Frederick, MD",Frederick,MD
243,"Crispus Attucks, IN",Indianapolis,IN
244,Eastern,Louisville,KY
245,"American Heritage, FL",Davie,FL
246,Chiawana,Pasco,WA
247,"Woodward Academy",Atlanta,GA
248,"Beaver Dam","Beaver Dam",WI
249,"Springboro, OH",Cincinnati,OH
250,"Tabor Academy",Eastham,MA
251,Norview,,VA
252,"Divine Savior Holy Angels","Menomonee Falls",WI
253,Cedarburg,Saukville,WI
254,"Saddle River Day School","North Arlington",NJ
255,"Grayson, GA",Lawrenceville,GA
256,"Peoria Notre Dame",Edwards,IL
257,SHS,Statesboro,GA
258,"Immaculate Conception",Haledon,NJ
259,"Manchester, VA",Midlothian,VA
260,"Smithson Valley","San Antonio",TX
261,"Liberty Christian, CA",WINSTON-Salem,NC
262,"Long Island Lutheran, NY","Port Chester",NY
263,"Bishop McNamara",Glenarden,MD
264,"Bishop McNamara, MD",Forestville,MD
265,"Apex Friendship",Apex,NC
266,Orange,Hillsborough,NC
267,Claremore,Claremore,OK
268,DeSoto,"Cedar Hill",TX
269,"Dr Phillips, FL",Orlando,FL
270,"Benson Polytechnic, OR",Portland,OR
271,"Winter Haven",Lakeland,FL
272,"Blue Valley North, KS","Overland Park",KS
273,"Notre Dame Academy","Green Bay",WI
274,"Notre Dame Academy, WI","Green Bay",WI
275,"Ursuline Academy",Wyncote,PA
276,"Cass Tech, MI",Detroit,MI
277,"Raymond, Alberta",Provo,UT
278,Hamilton,Hamilton,AL
279,"Providence Day, NC",Charlotte,NC
280,"Sacred Heart, KY",Louisville,KY
281,"St JOSEPH by the Sea","Staten Island",NY
282,Benson,Portland,OR
283,Banneker,Atlanta,GA
284,"South Seminole Academy",Oviedo,FL
285,"Holy Innocents, GA",Atlanta,GA
286,"Westtown, PA",Fallston,MD
287,"Rockdale County",Conyers,GA
